2012 rank	City	State	2012 estimate	2010 Census	Change	2012 land area	2012 population density	ANSI	Location
105	Montgomery	Alabama	205293	205764	0.23%	159.565 sq mi	1,290 per sq mi	2404289	32.3463 N 86.2686 W
49	Wichita	Kansas	385577	382368	0.84%	159.295 sq mi	2,400 per sq mi	485662	37.6907 N 97.3427 W
56	Aurora	Colorado	339030	325078	4.29%	154.100 sq mi	2,110 per sq mi	2409731	39.7082 N 104.8235 W
23	Denver	Colorado	634265	600158	5.68%	153.000 sq mi	3,923 per sq mi	2410324	39.7618 N 104.8806 W
168	Bridgeport	Connecticut	146425	144229	1.52%	15.974 sq mi	9,029 per sq mi	2378269	41.1874 N 73.1957 W
238	Costa Mesa	California	111918	109960	1.78%	15.654 sq mi	7,025 per sq mi	2410239	33.6659 N 117.9123 W
169	Alexandria	Virginia	146294	139966	4.52%	15.027 sq mi	9,314 per sq mi	1498415	38.8183 N 77.0820 W
100	Birmingham	Alabama	212038	212237	0.09%	146.067 sq mi	1,453 per sq mi	2403868	33.5274 N 86.7990 W
107	Fayetteville	North Carolina	202103	200564	0.77%	145.845 sq mi	1,375 per sq mi	2403604	35.0851 N 78.9803 W
42	Raleigh	North Carolina	423179	403892	4.78%	142.903 sq mi	2,826 per sq mi	2404590	35.8302 N 78.6414 W
52	Bakersfield	California	358597	347483	3.20%	142.164 sq mi	2,444 per sq mi	2409774	35.3212 N 119.0183 W
75	Jersey City	New Jersey	254441	247597	2.76%	14.794 sq mi	16,737 per sq mi	885264	40.7114 N 74.0648 W
283	El Cajon	California	101435	99478	1.97%	14.433 sq mi	6,892 per sq mi	2410406	32.8017 N 116.9605 W
120	Mobile	Alabama	194822	195111	0.15%	139.109 sq mi	1,403 per sq mi	2404278	30.6684 N 88.1002 W
18	Detroit	Michigan	701475	713777	1.72%	138.750 sq mi	5,144 per sq mi	1626181	42.3830 N 83.1022 W
138	Chattanooga	Tennessee	171279	167674	2.15%	137.152 sq mi	1,223 per sq mi	2404035	35.0665 N 85.2471 W
38	Mesa	Arizona	452084	439041	2.97%	136.452 sq mi	3,218 per sq mi	2411087	33.4019 N 111.7174 W
31	Las Vegas	Nevada	596424	583756	2.17%	135.815 sq mi	4,298 per sq mi	2411630	36.2277 N 115.2640 W
5	Philadelphia	Pennsylvania	1547607	1526006	1.42%	134.101 sq mi	11,379 per sq mi	1215531	40.0094 N 75.1333 W
28	Portland	Oregon	603106	583776	3.31%	133.427 sq mi	4,375 per sq mi	2411471	45.5370 N 122.6500 W
40	Atlanta	Georgia	443775	420003	5.66%	133.152 sq mi	3,154 per sq mi	2403126	33.7629 N 84.4227 W
85	Winston–Salem	North Carolina	234349	229617	2.06%	132.449 sq mi	1,734 per sq mi	2405771	36.1033 N 80.2606 W
131	Brownsville	Texas	180097	175023	2.90%	132.330 sq mi	1,323 per sq mi	2409924	26.0183 N 97.4538 W
190	Columbia	South Carolina	131686	129272	1.87%	132.213 sq mi	978 per sq mi	2404107	34.0298 N 80.8966 W
252	Lowell	Massachusetts	108522	106519	1.88%	13.583 sq mi	7,842 per sq mi	618227	42.6389 N 71.3221 W
43	Omaha	Nebraska	421570	408958	3.08%	127.088 sq mi	3,218 per sq mi	2396064	41.2647 N 96.0419 W
69	Greensboro	North Carolina	277080	269666	2.75%	126.515 sq mi	2,131 per sq mi	2403745	36.0965 N 79.8271 W
166	Kansas City	Kansas	147268	145786	1.02%	124.810 sq mi	1,168 per sq mi	485601	39.1225 N 94.7418 W
84	Lubbock	Texas	236065	229573	2.83%	122.410 sq mi	1,875 per sq mi	2410892	33.5665 N 101.8867 W
237	Downey	California	112873	111772	0.99%	12.408 sq mi	9,008 per sq mi	2410352	33.9382 N 118.1309 W
201	Elizabeth	New Jersey	126458	124969	1.19%	12.319 sq mi	10,144 per sq mi	885205	40.6663 N 74.1935 W
118	Little Rock	Arkansas	196537	193524	1.56%	119.200 sq mi	1,624 per sq mi	2404939	34.7254 N 92.3586 W
221	Athens	Georgia	118999	115452	3.07%	116.355 sq mi	992 per sq mi	2407405	33.9496 N 83.3701 W
142	Port St. Lucie	Florida	168716	164603	2.50%	113.953 sq mi	1,444 per sq mi	2404558	27.2810 N 80.3838 W
53	Tampa	Florida	347645	335709	3.56%	113.409 sq mi	3,077 per sq mi	2405568	27.9701 N 82.4797 W
34	Fresno	California	505882	494665	2.27%	111.957 sq mi	4,418 per sq mi	2410546	36.7827 N 119.7945 W
124	Salt Lake City	Utah	189314	186440	1.54%	111.110 sq mi	1,678 per sq mi	2411771	40.7785 N 111.9314 W
135	Jackson	Mississippi	175437	173514	1.11%	111.046 sq mi	1,563 per sq mi	2404779	32.3158 N 90.2128 W
74	Fort Wayne	Indiana	254555	253691	0.34%	110.618 sq mi	2,293 per sq mi	2394798	41.0882 N 85.1439 W
205	Charleston	South Carolina	125583	120083	4.58%	108.979 sq mi	1,102 per sq mi	2404030	32.8179 N 79.9589 W
71	Henderson	Nevada	265679	257729	3.08%	107.732 sq mi	2,392 per sq mi	2410741	36.0122 N 115.0375 W
83	Durham	North Carolina	239358	228330	4.83%	107.370 sq mi	2,127 per sq mi	2403521	35.9810 N 78.9056 W
223	Abilene	Texas	118887	117063	1.56%	106.793 sq mi	1,096 per sq mi	2409657	32.4545 N 99.7381 W
156	Palmdale	California	155650	152750	1.90%	105.961 sq mi	1,442 per sq mi	2411359	34.5913 N 118.1090 W
215	Surprise	Arizona	121287	117517	3.21%	105.747 sq mi	1,111 per sq mi	2412016	33.6706 N 112.4527 W
147	Cape Coral	Florida	161248	154305	4.50%	105.673 sq mi	1,460 per sq mi	2403990	26.6431 N 81.9973 W
109	Shreveport	Louisiana	201867	199311	1.28%	105.375 sq mi	1,891 per sq mi	2405463	32.4670 N 93.7927 W
180	Savannah	Georgia	142022	136286	4.21%	103.151 sq mi	1,321 per sq mi	2405429	32.0025 N 81.1536 W
89	Reno	Nevada	231027	225221	2.58%	103.009 sq mi	2,186 per sq mi	2410923	39.4745 N 119.7765 W
77	Orlando	Florida	249562	238300	4.73%	102.395 sq mi	2,327 per sq mi	2404443	28.4159 N 81.2988 W
95	North Las Vegas	Nevada	223491	216961	3.01%	101.345 sq mi	2,141 per sq mi	2411273	36.2830 N 115.0893 W
125	Tallahassee	Florida	186971	181376	3.08%	100.247 sq mi	1,809 per sq mi	2405563	30.4551 N 84.2534 W
232	Berkeley	California	115403	112580	2.51%	10.470 sq mi	10,752 per sq mi	2409837	37.8667 N 122.2991 W
63	Anchorage	Alaska	298610	291826	2.32%	1,704.683 sq mi	171 per sq mi	2419025	61.2176 N 149.8953 W
278	North Charleston	South Carolina	101989	97471	4.64%				32.8853 N 80.0169 W
280	Boulder	Colorado	101808	97385	4.54%				40.0175 N 105.2797 W
289	Kenosha	Wisconsin	100150	99218	0.94%				42.5822 N 87.8456 W
